year,highest_qualification,age,sex,joint_probability_qual_age_sex,duration,unemployed_age,probability_age,unemployed_qual,probability_qual,hybrid_probability,estimated_unemployed
2010,degree,15-24,female,3236.317135549872,10 to 14,600.0,0.05263157894736842,900.0,0.08108108108108109,0.06685633001422475,216.36828644501279
2010,degree,15-24,female,3236.317135549872,15 to 19,300.0,0.02631578947368421,500.0,0.04504504504504504,0.035680417259364626,115.47314578005114
2010,degree,15-24,female,3236.317135549872,20 to 24,800.0,0.07017543859649122,1400.0,0.12612612612612611,0.09815078236130867,317.6470588235294
2010,degree,15-24,female,3236.317135549872,25 to 29,200.0,0.017543859649122806,200.0,0.018018018018018018,0.01778093883357041,57.544757033248075
2010,degree,15-24,female,3236.317135549872,30 to 39,100.0,0.008771929824561403,200.0,0.018018018018018018,0.01339497392128971,43.350383631713555
2010,degree,15-24,female,3236.317135549872,40 to 51,300.0,0.02631578947368421,700.0,0.06306306306306306,0.04468942626837363,144.62915601023016
2010,degree,15-24,female,3236.317135549872,5 to 9,2400.0,0.21052631578947367,2500.0,0.22522522522522523,0.21787577050734946,705.1150895140665
2010,degree,15-24,female,3236.317135549872,52 and over,400.0,0.03508771929824561,700.0,0.06306306306306306,0.049075391180654335,158.8235294117647
2010,degree,15-24,female,3236.317135549872,under 5,6300.0,0.5526315789473685,4000.0,0.36036036036036034,0.4564959696538644,1477.3657289002558
2010,degree,15-24,male,1777.8761061946902,10 to 14,700.0,0.08536585365853659,1000.0,0.10204081632653061,0.09370333499253361,166.59292035398232
2010,degree,15-24,male,1777.8761061946902,15 to 19,200.0,0.024390243902439025,500.0,0.05102040816326531,0.03770532603285216,67.03539823008849
2010,degree,15-24,male,1777.8761061946902,20 to 24,500.0,0.06097560975609756,1000.0,0.10204081632653061,0.08150821304131409,144.91150442477877
2010,degree,15-24,male,1777.8761061946902,25 to 29,100.0,0.012195121951219513,200.0,0.02040816326530612,0.016301642608262817,28.98230088495575
2010,degree,15-24,male,1777.8761061946902,30 to 39,0.0,0.0,400.0,0.04081632653061224,0.02040816326530612,36.28318584070796
2010,degree,15-24,male,1777.8761061946902,40 to 51,200.0,0.024390243902439025,600.0,0.061224489795918366,0.0428073668491787,76.1061946902655
2010,degree,15-24,male,1777.8761061946902,5 to 9,1700.0,0.2073170731707317,2000.0,0.20408163265306123,0.20569935291189645,365.7079646017699
